Key,Name,Status,Definition,Abbreviations,Aliases,AdditionalNotes,Stewards,RelatedGlossaries,TermEntityType,ParentGlossary
,Bullying (workplace bullying),,According to the Workplace Bullying and Trauma Institute workplace bullying is repeated,,,,admin,,Business Terms,Human Resources
,Bumping,,Giving long-standing employees whose positions are to be eliminated the option of taking other positions within the company that they are qualified for and that are currently held by employees with less seniority.,,,,admin,,Business Terms,Human Resources
,Business continuity planning,,"Broadly defined as a management process that seeks to identify potential threats and impacts to the organization, and provide a strategic and operational framework for ensuring the organization is able to withstand any disruption, interruption, or loss to normal business functions or operation.",,,,admin,,Business Terms,Human Resources
,Business Process,,,,,,admin,,Business Terms,Human Resources
,Business Process Outsourcing (BPO),,The managing of an organizations business applications by a technology vendor.,,,,admin,,Business Terms,Human Resources
,Buzz Marketing,,"A viral marketing technique that attempts to make each encounter with a prospect"" appear to be a personal",,,,admin,,Business Terms,Human Resources
,Cafeteria Plan,,"A plan in which an employer offers employees a variety of different benefits. The employee is able to choose which benefits would fit their individual needs. Examples of benefits offered in the cafeteria include group-term life insurance, dental insurance, disability and accident insurance, and reimbursement of healthcare expenses.",,,,admin,,Business Terms,Human Resources
,Called up (share capital) ,,"The company has called upon the shareholders who first bought the shares, to pay for their shares.",,,,admin,,Business Terms,Accounting
,CAN-SPAM Act (Controlling the Assault of Non-Solicited Pornography and Marketing Act),,"Congressional legislation that regulates commercial emails (i.e. commercial advertisement or promotion) and sets clearly defined opt-out standards. Any billing, warranties, product updates or customer service information is not included in this act. E-mail newsletters that are not considered advertisements are also exempt.",,,,admin,,Business Terms,Human Resources
,Capital ,,"An amount of finance provided, generally by the owners or shareholders, to enable a business to acquire assets and sustain its operations.",,,,admin,,Business Terms,Accounting
,Capital expenditure ,,Spending on non-current (fixed) assets of a business.,,,,admin,,Business Terms,Accounting
,Capitated Pricing,,"Vendors deliver contracted services for a set amount of money per employee per month. This can be a risky strategy for vendors whose profitability is directly tied to how much the services are or are not used (e.g., EAPs).",,,,admin,,Business Terms,Human Resources
,Carrier,,"A vendor in the employee benefits space. More commonly used in reference to health care. Carriers (e.g., Met Life, Blue Cross, Aetna, etc.) sell their products through Brokers & Consultants, but may also sell to an employer directly.",,,,admin,,Business Terms,Human Resources
,Carve-Out,,"The elimination of coverage of a specific category of benefit services (e.g. vision care, mental health/psychological services, or prescription drugs). The employer opts out of certain services with one vendor and contracts another to deliver them.",,,,admin,,Business Terms,Human Resources
,Cash flow projections ,,Statements of cash expected to flow into and out of a business over a particular period.,,,,admin,,Business Terms,Accounting
,Casual employment,,"The practice of hiring employees on an as-needed basis, either as a replacement for permanent full-time employees who are out on short and long-term absences or to meet employer?s additional staffing needs during peak business periods.",,,,admin,,Business Terms,Human Resources
,Change management,,"A deliberate approach for transitioning individuals or organizations from one state to another in order to manage and monitor the change. Change management can be conducted on a continuous basis, on a regular schedule (such as an annual review), or when deemed necessary on a program-by-program basis.",,,,admin,,Business Terms,Human Resources
,Charity,,,,,,admin,,Business Terms,Company Wide
,Child,,,,,,admin,,Business Terms,Human Resources
,City,,,,,,admin,,Business Terms,Company Wide
,Coaching,,"A method of training an individual or group in order to develop skills or overcome a performance problem. Coaching can be between a manager and a subordinate or an outside professional coach and one or more individuals. There are many coaching methods and models, but close observation, accountability and feedback on progress and performance are usually included.",,,,admin,,Business Terms,Human Resources
,COBRA,,"Consolidated Omnibus Budget Reconciliation Act. 1985 Federal law that requires employers to offer continued health insurance coverage to terminated employees and their beneficiaries. The coverage may continue for the following cases: termination of employment, change in working hours, change in dependent status or age limitation, separation, divorce, or death.",,,,admin,,Business Terms,Human Resources
,Co-employment,,"The relationship between a Professional Employer Organization (PEO), or employee leasing firm and an employer, based on a contractual sharing of liability and responsibility for employees.",,,,admin,,Business Terms,Human Resources
,Cognitive ability testing,,A testing instrument used during the selection process in order to measure the candidate?s learning and reasoning abilities.,,,,admin,,Business Terms,Human Resources
,Collective Bargaining,,One or more unions meeting with representatives from an organization to negotiate labor contracts.,,,,admin,,Business Terms,Human Resources
,Commercial Entity,,,,,,admin,,Business Terms,Company Wide
,Companies Act ,,Legislation to control the activities and administration of limited liability companies.,,,,admin,,Business Terms,Accounting
,Compensation,,Pay structures within an organization. It can be linked to employee appraisal. Compensation is effectively managed if performance is measured adequately.,,,,admin,,Business Terms,Human Resources
,Compensatory time-off plan,,"The practice of giving employees paid time off that can be used in the future in lieu of paying them overtime for hours worked in excess of 40 per week. While an acceptable practice in the public sector, the FLSA places very strict limitations on the use of compensatory time off for private sector employers.",,,,admin,,Business Terms,Human Resources
,Competency-based pay,,"Competency-based pay, alternately known as skill-based and knowledge-based pay, determines compensation by the type, breadth and depth of skills that employees gain and use in their positions.",,,,admin,,Business Terms,Human Resources
,Competency Modeling,,"A set of descriptions that identify the skills, knowledge, and behaviors needed to effectively perform in an organization. Competency models assist in clarifying job and work expectations, maximizing productivity, and aligning behavior with organizational strategy.",,,,admin,,Business Terms,Human Resources
,Competitive advantage,,"In the context of Human Resources, competitive advantage refers to the quality of the employees, as a competing organization?s systems and processes can be copied but not its people. All other things being equal among competing companies, it is the company with better employees that has the competitive advantage.",,,,admin,,Business Terms,Human Resources
,Condition of employment,,An organization?s policies and work rules that employees are expected to abide by in order to remain continuously employed.,,,,admin,,Business Terms,Human Resources
,Confidentiality agreement,,An agreement between an employer and employee in which the employee may not disclose proprietary or confidential information.,,,,admin,,Business Terms,Human Resources
,Constructive dismissal,,"An employer?s behavior (either one serious incident or a pattern of incidents) creates a negative work environment, leading to an employee?s resigning. Such behavior is considered a breach of contract and gives the employee the right to seek compensation in court.",,,,admin,,Business Terms,Human Resources
,Consultants,,"An outside individual who supplies professional advice or services to companies for a fee. Large HR consulting firms include Aon, Mercer, Hewitt and Watson Wyatt. Large HR consulting firms typically work with companies who have more than 1,500 employees.",,,,admin,,Business Terms,Human Resources
,Contingency Recruiting (Search),,Contingency recruiters conduct frontline talent searches and represent either employers or individuals seeking placement. Contingency firms are not paid unless a candidate is successfully placed.,,,,admin,,Business Terms,Human Resources
,Contingent Staff,,Temporary staff that supplements a companys workforce. Contingent staff may be hired through a staffing firm. Businesses that have fluctuating seasonal staff demands or are in need of temporary call center representatives often use contingent workers.,,,,admin,,Business Terms,Human Resources
,Contract,,,,,,admin,,Business Terms,Company Wide
,Contract for services,,An agreement with a self-employed person for a specific job.,,,,admin,,Business Terms,Human Resources
,Contract of service,,Another term for employment agreement.,,,,admin,,Business Terms,Human Resources
,Contractor,,"<span style=""color: rgb(51, 51, 51); font-family: SourceSansPro; font-size: 12px; letter-spacing: 1px; background-color: rgb(255, 255, 255);"">A self-employed person who works for another person or organization on a contract basis.</span>",,,,admin,,Business Terms,Human Resources
,Conversion Rate,,"A conversion rate is defined as the relationship between visitors to a web site and actions considered to be a ?conversion?, such as a sale or request to receive more information. A 2006 study by WebSideStory showed the following conversion stats for these major search engines: AOL traffic 6.17%, MSN traffic 6.03%, Yahoo traffic 4.07% and Google traffic 3.83%. Search optimization (SEO) is far less expensive than an aggressive paid search campaign and gets you the same amount of traffic. Plus, the effects are longer lasting, and conversions are frequently in the same range (or even higher) than paid ads on engines.",,,,admin,,Business Terms,Human Resources
,Core competencies,,"The particular set of strengths, experience, knowledge and abilities that differentiate a company from its competitors and provide competitive advantage. Employees should possess these qualities in order to advance business goals.",,,,admin,,Business Terms,Human Resources
,Corporation tax ,,"Tax payable by companies, based on the taxable profits of the period.",,,,admin,,Business Terms,Accounting
,Cost-Benefit Analysis,,"The ability to measure the costs associated with a specific program, project, or benefit. The cost is then compared to the total benefit or value derived.",,,,admin,,Business Terms,Human Resources
,Cost of goods sold ,,"Materials, labour and other costs directly related to the goods sold or services provided.",,,,admin,,Business Terms,Accounting
,Cost of sales ,,See �cost of goods sold�.,,,,admin,,Business Terms,Accounting
,Cost-Per-Hire,,"The costs linked to recruiting talent. These costs can include advertising, agency fees, relocation costs, and training costs.",,,,admin,,Business Terms,Human Resources
,Country,,,,,,admin,,Business Terms,Company Wide
,Credit note ,,"A document summarising the reduction in charge on an invoice (bill), usually because the customer has returned defective goods or has received inadequate service.",,,,admin,,Business Terms,Accounting
,Creditor ,,A person or organisation to whom money is owed by the business.,,,,admin,,Business Terms,Accounting
,Credit sale ,,A business entity sells goods or services and allows the customer to make payment at a later date.,,,,admin,,Business Terms,Accounting
,Credit (terms of business) ,,The supplier agrees to allow the customer to make payment some time after the delivery of the goods or services. Typical trader credit periods range from 30 to 60 days but each agreement is different.,,,,admin,,Business Terms,Accounting
,Current asset ,,An asset that is expected to be converted into cash within the trading cycle. Contrasting a Fixed asset that is held to use within the business long term.,,,,admin,,Business Terms,Accounting
,Current liability ,,"A liability which is expected to be settled in the entity�s normal operating cycle, generally within 12 months after the balance sheet date.",,,,admin,,Business Terms,Accounting
,Day Rate,,,,,,admin,,Business Terms,Human Resources
,Debit (in bookkeeping) ,,"Entries in the debit column of a ledger account representing increases in assets or expenses, or decreases in liabilities or income.",,,,admin,,Business Terms,Accounting
,Debtor ,,A person or organisation that owes money to the business.,,,,admin,,Business Terms,Accounting
,Deferred compensation,,Payment for services under any employer-sponsored plan or arrangement that allows an employee (for tax-related purposes) to defer income to the future.,,,,admin,,Business Terms,Human Resources
,Deferred income ,,"Income invoiced, or paid for, in advance of providing the service resulting in the income being deferred to a later accounting period, to when the service is provided.",,,,admin,,Business Terms,Accounting
,Deferred taxation ,,Income & expenditure may be recognised at different time for accounting and tax purposes. Deferred tax is a way to balance this timing difference in the accounts.,,,,admin,,Business Terms,Accounting
,Defined Benefit Plan,,"A retirement plan that pays participants a lump-sum amount that has been calculated using formulas that can include age, earnings and length of service.",,,,admin,,Business Terms,Human Resources
,Defined Contribution,,"A pension plan that clearly defines the amount of contributions, which is usually a percentage of an employees salary. The benefits payable at retirement depend on several factors including future investment return and annuity rate at retirement.",,,,admin,,Business Terms,Human Resources
,Department,,,,,,admin,,Business Terms,Human Resources
,Depreciation ,,The apportionment of the cost (or value) of a fixed asset against profits over its useful life.,,,,admin,,Business Terms,Accounting
,Deregulation,,The removal or revision of laws that regulate the supply of goods and services.,,,,admin,,Business Terms,Human Resources
,Developmental counseling,,"A form of shared counseling where managers or supervisors work together with subordinates to identify strengths and weaknesses, resolve performance-related problems and determine and create an appropriate action plan.",,,,admin,,Business Terms,Human Resources
,Direct Marketing,,"Direct marketing is a sales method by which advertisers approach buyers directly with products or services. The most common forms of direct marketing are telephone sales, emails and print (e.g., catalogs, brochures). Successful direct marketing also involves renting or compiling / maintaining a database of qualified buyers. According to the Direct Marketing Association, average response rates for print direct mail (flat mail) are 2.73%), catalogs are 2.45% and E-mail is 1.12%. HRmarketer.com research shows emails that offer a compelling ?offer? in the form of a free downloadable white paper or research report (on a topic that resonates with your buyer) are significantly more likely to generate a response than promotional offers. In all industries, marketers are shifting their spending from brand building tactics like print advertising to direct response-oriented promotional channels such as direct marketing and interactive marketing (online advertising). The HRmarketer.com research report Trends in HR Marketing (http://www.hrmarketer.com/home/whitepaper_main2.htm) verifies this trend in the HR marketplace.",,,,admin,,Business Terms,Human Resources
,Director(s) ,,Person(s) appointed by shareholders of a limited liability company to manage the affairs of the company.,,,,admin,,Business Terms,Accounting
,Disability,,"The inability to perform all or part of one's occupational duties because of an accident or illness. This can be due to a sickness, injury or mental condition and does not necessarily have to have been caused by the job itself.",,,,admin,,Business Terms,Human Resources
,Disability Income Insurance,,Health insurance that is paid to a policyholder who experiences a loss of income due to an injury or an illness. Disability insurance plans pay a portion of the salary of a disabled worker until his/her retirement age.,,,,admin,,Business Terms,Human Resources
,Disciplinary procedure,,"A standardized process that an organization commits to when dealing with an employee who has breached the terms of employment in some way. If this procedure is not standardized and fair, the organization may face discrimination or other legal charges.",,,,admin,,Business Terms,Human Resources
,Discrimination,,"The favoring of one group of people, resulting in unfair treatment of other groups.",,,,admin,,Business Terms,Human Resources
,Disease Management,,"An information-based process involving the continuous improvement of care (prevention, treatment and management) throughout the delivery of health care. Effective disease management can mean decreased health care costs.",,,,admin,,Business Terms,Human Resources
,Distance Learning,,"Educational programs using instruction via video or audio tapes, computers etc. instead of attending a class in one centralized location.",,,,admin,,Business Terms,Human Resources
,Distributive bargaining,,"A negotiation between competing parties that involves the distribution of resources. One party prevails, to the detriment of the other.",,,,admin,,Business Terms,Human Resources
,Diversity,,"The collective mixture of differences and similarities that may include: individual and organizational characteristics, values, beliefs, experiences, backgrounds, preferences and behaviors.",,,,admin,,Business Terms,Human Resources
,Diversity Training,,"Diversity training is training for the purpose of increasing participants' cultural awareness, knowledge, and skills, which is based on the assumption that the training will benefit an organization by protecting against civil rights violations, increasing the inclusion of different identity groups, and promoting better teamwork.",,,,admin,,Business Terms,Human Resources
,Dividend ,,"Amount paid to a shareholder, out of a company�s post tax profits, as a reward for investment in the company. The amount of dividend paid is proportionate to the number of shares held.",,,,admin,,Business Terms,Accounting
,Drawings ,,"Cash taken for personal use, in sole trader or partnership businesses, treated as a reduction of ownership interest.",,,,admin,,Business Terms,Accounting
,Dual Labor Markets,,a situation in an organization where a smaller Core Labor Force and a Peripheral Labor Force co-exist.,,,,admin,,Business Terms,Human Resources
,Due diligence,,"In mergers and acquisitions, the process of carefully investigating the details of an investment or purchase to assess risk and potential value and reward.",,,,admin,,Business Terms,Human Resources
,EAP,,"An employer-sponsored program that is designed to assist employees whose job performance is being adversely affected by such personal stresses as substance abuse, addictions, marital problems, family troubles, and domestic violence. For every dollar invested in an EAP, employers save approximately $5 to $16. The average annual cost for an EAP ranges from $12 to $20 per employee. Source: US Department of Labor.",,,,admin,,Business Terms,Human Resources
,Early return to work program,,Modified work programs designed to get employees who have been out of work due to injury or illness to return to the workforce sooner by providing them with less strenuous alternative jobs until they are able to resume their full regular duties.,,,,admin,,Business Terms,Human Resources
,E-Learning,,E-learning is a method of education via the Internet or other computer related resources. It presents just-in-time information in a flexible learning plan. E-learning can be combined with face-to-face courses for a blended learning approach.,,,,admin,,Business Terms,Human Resources
,Emotional Intelligence,,"Based on the book of the same name by Daniel Goleman, Emotional Intelligence is the ability to recognize, assess and manage their own and others? emotions.",,,,admin,,Business Terms,Human Resources
,Employee,,An employee is someone who works under an employment contract. A person may be an employee in employment law but have a different status for tax purposes. Employers must work out each worker's status in both employment law and tax law.,,,,admin,,Business Terms,Human Resources
,Employee Assessments,,"Tests used to help employers in pre-hire situations to select candidates best suited for open positions. These tests can sometimes be taken via the Internet and can provide employees with effective training, assist managers in becoming more effective, and promote people into appropriate positions. Types of assessments include those to determine personality, aptitude and skills.",,,,admin,,Business Terms,Human Resources
,Employee engagement,,"Employee engagement, also called worker engagement, is a business management concept. An engaged employee"" is one who is fully involved in",,,,admin,,Business Terms,Human Resources
,Employee Number,,The unique identifier for an Employee.<div>Any employee with an employment contract with the business must have an employee number. Only those with an employee number can have security access to any building.</div>,,EmpNum,"Staff Number, Employee ID, Staff ID",admin,,Business Terms,Human Resources
,Employee Relations,,"Developing, maintaining, and improving the relationship between employer and employee by effectively and proactively communicating with employees, processing grievances/disputes, etc.",,,,admin,,Business Terms,Human Resources
,Employee retention,,"Practices and policies designed to create a work environment that makes employees want to stay with the organization, thus reducing turnover.",,,,admin,,Business Terms,Human Resources
,Employee Self-Service,,"A program that allows employees to handle many job-related tasks normally conducted by HR departments including benefits enrollment, and updating personal information. Employees can access the information through the company's intranet, kiosks, or other Web-based applications.",,,,admin,,Business Terms,Human Resources
,Employee Skill Matrix,,,,,,admin,,Business Terms,Human Resources
,Employee Turnover,,"In human resources context, turnover or staff turnover or labour turnover is the rate at which an employer loses employees. Simple ways to describe it are ""how long employees tend to stay"" or ""the rate of traffic through the revolving door"". Turnover is measured for individual companies and for their industry as a whole. If an employer is said to have a high turnover relative to its competitors, it means that employees of that company have a shorter average tenure than those of other companies in the same industry. High turnover may be harmful to a company's productivity if skilled workers are often leaving and the worker population contains a high percentage of novice workers. Companies also often track turnover internally across departments and divisions or other demographic groups such as turnover of women versus turnover of men.",,,,admin,,Business Terms,Human Resources
,Employee Type,,"The type of an employee. This is permanent, part time, contractor.",,,,admin,,Business Terms,Human Resources
,Employment Branding,,"A strategy designed to make an organization appealing as a good place to work. This targeted marketing effort utilizes both print and Internet tactics and attempts to shape the perceptions of potential employees, current employees and the public / investment community.",,,,admin,,Business Terms,Human Resources
,Employment Contract,,,,,,admin,,Business Terms,Human Resources
,Empowerment,,"Giving employees the resources, skills and authority necessary to share power with management and make decisions. Employees are then held accountable for their decisions and rewarded if appropriate.",,,,admin,,Business Terms,Human Resources
,Enterprise Compensation Management (ECM),,"The automation of the compensation process to assist organizations in the acquisition, management and optimization of its workforce.",,,,admin,,Business Terms,Human Resources
,"Entity, entities ",,"Something that exists independently, such as a business which exists independently of the owner.",,,,admin,,Business Terms,Accounting
,Equal employment opportunity ,,"A policy statement enforced by the  Equal Employment Opportunity Commission that states that equal consideration for a job is applicable to all individuals, and that the employer does not discriminate based on race, color, religion, age, marital status, national origin, disability or sex.",,EEO,,admin,,Business Terms,Human Resources
,Equity ,,A description applied to the ordinary share capital of an entity.,,,,admin,,Business Terms,Accounting
,Equity theory,,"The idea that people desire to be treated fairly and thus compare their own contributions to the workplace?and resulting rewards?against those of their coworkers, to determine if they are being treated fairly.",,,,admin,,Business Terms,Human Resources
,E-Recruitment,,"Web-based software that handles the various processes included in recruiting and onboarding job candidates. These may include workforce planning, requisitioning, candidate acquisition, applicant tracking and reporting (regulatory or company analytics).",,,,admin,,Business Terms,Human Resources
,ERISA (Employment Retirement Income Security Act),,A federal law that governs pension and welfare employee benefit plans. ERISA requires plans to provide participants with plan information including plan features and funding. It also requires that plans provide fiduciary responsibilities for those who manage and control assets. It gives participants the right to sue for benefits and breaches of fiduciary duty.,,,,admin,,Business Terms,Human Resources
,Executive Coaching,,"Executive coaching is a professional relationship between a Coach and an Executive, or an Executive Team. The goal is to assist executives with positive leadership development. It can be provided in one-on-one sessions or via the Internet.",,,,admin,,Business Terms,Human Resources
,Executive Compensation,,"Also called executive pay, compensation packages are specifically designed for executive-level employees that include items such as base salary, bonuses, perquisites and other personal benefits, stock options and other related compensation and benefit provisions.",,,,admin,,Business Terms,Human Resources
,Executive Search,,An agency or organization used by employers to assist them with the selection and placement of candidates for senior-level managerial or professional positions.,,,,admin,,Business Terms,Human Resources
